id,title,venue,startDate,endDate,artistIds,workIds,url,area,movement,era
exhibition_nezu_ayanishiki_2025_tokyo,綾錦 近代西陣が認めた染織の美,根津美術館,2025-12-20,2026-02-01,,,https://www.nezu-muse.or.jp/jp/exhibition/,tokyo,,modern_early_20c
exhibition_nezu_eishisasso_2026_tokyo,英姿颯爽 根津美術館の武器・武具,根津美術館,2026-02-14,2026-03-29,,,https://www.nezu-muse.or.jp/jp/exhibition/schedule.html,tokyo,,modern_19c
exhibition_momat_anti_action_2025_tokyo,アンチ・アクション 彼女たち、それぞれの応答と挑戦,東京国立近代美術館,2025-12-16,2026-02-08,,,https://www.momat.go.jp/exhibitions/566,tokyo,,modern_mid_20c
exhibition_momat_shimomura_kanzan_2026_tokyo,下村観山展,東京国立近代美術館,2026-03-17,2026-05-10,artist_shimomura_kanzan,,https://www.momat.go.jp/exhibitions/567,tokyo,nihonga,modern_early_20c
exhibition_tobikan_swedish_painting_2026_tokyo,スウェーデン絵画 北欧の光、日常のかがやき,東京都美術館,2026-01-27,2026-04-12,,,https://www.swedishpainting2026.jp/,tokyo,,modern_19c
exhibition_nmwa_hokusai_fugaku36_2026_tokyo,北斎 冨嶽三十六景 井内コレクションより,国立西洋美術館,2026-03-28,2026-06-14,artist_katsushika_hokusai,work_great_wave_off_kanagawa|work_red_fuji,https://www.nmwa.go.jp/jp/exhibitions/2026hokusai.html,tokyo,ukiyo_e,modern_19c
exhibition_nact_picasso_paul_smith_2026_tokyo,ピカソ meets ポール・スミス 遊び心の冒険へ,国立新美術館,2026-06-10,2026-09-21,artist_pablo_picasso,,https://www.nact.jp/exhibition_special/2026/picasso_paulsmith/,tokyo,cubism,modern_early_20c
exhibition_nact_louvre_renaissance_2026_tokyo,ルーヴル美術館展 ルネサンス,国立新美術館,2026-09-09,2026-12-13,artist_leonardo_da_vinci|artist_michelangelo_buonarroti|artist_raphael,,https://www.nact.jp/exhibition_special/2026/louvre2026/,tokyo,renaissance,renaissance
exhibition_tnm_kaga_maeda_2026_tokyo,百万石！加賀前田家,東京国立博物館,2026-04-14,2026-06-07,,,https://www.tnm.jp/modules/r_free_page/index.php?id=2740,tokyo,,modern_19c
exhibition_yokohama_imamura_shiko_2026_kanagawa,没後110年 日本画の革命児 今村紫紅,横浜美術館,2026-04-25,2026-06-28,artist_imamura_shiko,,https://yokohama.art.museum/exhibition/202604_imamurashiko/,kanagawa,nihonga,modern_early_20c
exhibition_anti_action_2025_tokyo,Anti-Action: Artist-Women's Challenges and Responses in Postwar Japan,東京国立近代美術館,2025-12-16,2026-02-08,artist_yayoi_kusama|artist_tanaka_atsuko|artist_fukushima_hideko,,https://www.momat.go.jp/en/exhibitions/566,tokyo,feminist_art|abstract_art,modern_mid_20c
exhibition_enokura_koji_retrospective_2025_tokyo,Enokura Koji: A Retrospective,東京国立近代美術館,2025-11-05,2026-02-08,artist_enokura_koji,,https://www.momat.go.jp/en/exhibitions/r7-2-g4,tokyo,mono_ha,modern_mid_20c
exhibition_kyosai_israel_goldman_2026_tokyo,Kyōsai's World: The Israel Goldman Collection,サントリー美術館,2026-04-22,2026-06-21,artist_kawanabe_kyosai,,https://kyosai2026.exhibit.jp/,tokyo,ukiyo_e,modern_19c
exhibition_art_between_japan_korea_since_1945_2025_yokohama,Art between Japan and Korea since 1945,横浜美術館,2025-12-06,2026-03-22,artist_lee_ufan|artist_nam_june_paik,,https://yokohama.art.museum/eng/exhibition/202512_jkart1945/,kanagawa,contemporary_art,contemporary
exhibition_marie_antoinette_style_2026_yokohama,マリー・アントワネット・スタイル,横浜美術館,2026-08-01,2026-11-23,,,https://www.marie2026.jp/,kanagawa,,rococo
exhibition_mariko_mori_2026_tokyo,Mariko Mori,森美術館,2026-10-31,2027-03-28,artist_mori_mariko,,https://www.mori.art.museum/en/exhibitions/marikomori/index.html,tokyo,contemporary_art,contemporary
exhibition_ueno_artist_project_embroidery_2025_tokyo,Ueno Artist Project 2025: Embroidery―Expression of Life from the Rhythm of a Needle,東京都美術館,2025-11-18,2026-01-08,,,https://www.tobikan.jp/en/exhibition/2025_uenoartistproject.html,tokyo,contemporary_art,contemporary
exhibition_ukiyoe_ojisan_festival_2026_tokyo,Ukiyo-e Ojisan Festival,太田記念美術館,2026-01-06,2026-03-01,artist_katsushika_hokusai|artist_utagawa_hiroshige,,https://www.ukiyoe-ota-muse.jp/ukiyo-e-ojisan-festival-eng/,tokyo,ukiyo_e,modern_19c
exhibition_lucie_rie_2026_tokyo,Lucie Rie: Elegant Vessels Fusing East and West,東京都庭園美術館,2026-07-04,2026-09-13,artist_lucie_rie,,https://www.teien-art-museum.ne.jp/en/exhibition/lucie-rie/,tokyo,modernism,modern_mid_20c
exhibition_shojo_manga_infinity_2026_tokyo,"Shojo Manga Infinity: Moto Hagio, Ryoko Yamagishi, and Waki Yamato",国立新美術館,2026-10-28,2027-02-08,artist_hagio_moto|artist_yamagishi_ryoko|artist_yamato_waki,,https://www.nact.jp/english/pr/media/Exhibition2026_En.pdf,tokyo,manga,contemporary
